# 
# Barbour and Crowell (2016)
# Dynamic strains at PBO borehole strainmeters
# 
# 	'Station'	station identifier
# 	'Earthquake'	earthquake identifier
# 	'Mw'		moment magnitude
# 	'D.km'		hypocentral distance in km
# 	'logE'		log10 peak rms strain
#  
 Station Earthquake   Mw  D.km   logE     
 B005    2008.360_5.8 5.8 418.65 -7.424504
 B081    2009.276_5.2 5.2 312.85 -7.425226
 B014    2008.360_5.8 5.8 414.72 -7.429708
 B928    2008.360_5.8 5.8 288.33 -7.430871
 B082    2008.050_5.1 5.1 174.97 -7.431440
 B087    2011.049_5.2 5.2 213.58 -7.432212
 B022    2012.270_4.8 4.8 392.77 -7.432494
 B031    2008.010_6.3 6.3 393.74 -7.432742
 B040    2013.284_5.2 5.2 236.85 -7.433179
 B031    2012.046_5.9 5.9 347.46 -7.434332
 B082    2009.276_5.2 5.2 328.14 -7.434450
 B089    2009.276_5.2 5.2 327.96 -7.435387
 B088    2008.043_5.0 5.0 156.02 -7.435518
 B086    2009.276_5.2 5.2 334.38 -7.436517
 B066    2008.211_5.5 5.5 470.35 -7.436646
 B073    2013.044_5.3 5.3 319.13 -7.437310
 B079    2009.276_5.2 5.2 231.41 -7.442204
 B072    2011.239_4.8 4.8 109.88 -7.442546
 B001    2008.360_5.8 5.8 446.02 -7.443607
 B087    2009.262_5.2 5.2 174.11 -7.445744
 B022    2008.010_6.3 6.3 437.65 -7.448823
 B030    2012.046_5.9 5.9 400.54 -7.450443
 B088    2009.276_5.2 5.2 350.90 -7.453279
 B022    2012.102_6.0 6.0 424.62 -7.453915
 B054    2010.035_5.9 5.9 373.61 -7.456356
 B086    2009.274_5.1 5.1 333.81 -7.457940
 B089    2008.043_5.0 5.0 171.26 -7.459291
 B933    2013.089_4.9 4.9 216.23 -7.460929
 B010    2013.216_5.5 5.5 312.93 -7.463472
 B078    2011.239_4.8 4.8 109.36 -7.465152
 B081    2010.257_5.0 5.0 224.87 -7.465731
 B045    2012.046_5.9 5.9 448.72 -7.466164
 B916    2012.239_5.4 5.4 409.90 -7.468116
 B023    2012.046_5.9 5.9 472.21 -7.469333
 B900    2011.239_4.8 4.8 143.12 -7.470235
 B086    2011.049_5.2 5.2 214.29 -7.470616
 B087    2009.274_5.1 5.1 338.00 -7.472695
 B003    2008.360_5.8 5.8 372.47 -7.479586
 B093    2008.043_5.0 5.0 181.85 -7.480328
 B005    2012.035_5.6 5.6 352.00 -7.482657
 B022    2012.232_5.6 5.6 425.82 -7.482686
 B081    2009.274_5.1 5.1 312.11 -7.483217
 B075    2010.188_5.5 5.5 461.00 -7.484372
