#  
# Join of  'bsm_station_times.txt'  and  'earthquakes.txt'
#
 year mo dy hr mi sec sta4 sta16            geodkm jday eqnum nlat  elon    depkm Mw  eqid        
 2012  8 19  8  7 36  B010 pacgeosi2bbc2005 441.01 232  162   47.42 -129.08 15.0  5.6 2012.232_5.6
 2012 11  8  2  1 51  B010 pacgeosi2bbc2005 397.44 313  172   48.90 -128.85 12.0  6.2 2012.313_6.2
 2013  1  7  3 33 23  B010 pacgeosi2bbc2005 423.15 007  173   48.72 -129.20 27.2  4.8 2013.007_4.8
 2013  8  4 13 22 31  B010 pacgeosi2bbc2005 312.93 216  181   49.52 -127.52 26.2  5.5 2013.216_5.5
 2004  1 25 15 12 29  B011 pacgeosi3bbc2005 328.12 025    1   49.05 -127.88 12.0  5.4 2004.025_5.4
 2004  7 12 16 45  4  B011 pacgeosi3bbc2005 492.60 194    4   44.30 -124.71 20.0  4.9 2004.194_4.9
 2004  7 15 12  6 54  B011 pacgeosi3bbc2005 287.36 197    5   49.48 -127.17 18.7  5.7 2004.197_5.7
 2004  7 19  8  1 52  B011 pacgeosi3bbc2005 293.27 201    6   49.60 -127.19 24.8  6.3 2004.201_6.3
 2004 11  2 10  2 16  B011 pacgeosi3bbc2005 420.13 307   14   49.17 -129.13 19.0  6.6 2004.307_6.6
 2004 11  2 14  3 42  B011 pacgeosi3bbc2005 436.93 307   15   49.01 -129.38 19.7  5.0 2004.307_5.0
 2004 11  2 17 23 44  B011 pacgeosi3bbc2005 409.43 307   16   49.29 -128.96 16.8  5.2 2004.307_5.2
 2004 11  2  9 30 47  B011 pacgeosi3bbc2005 416.17 307   13   49.14 -129.08 17.9  5.1 2004.307_5.1
 2005  2 28 12 49 26  B011 pacgeosi3bbc2005 433.38 059   18   48.08 -129.24 12.0  5.0 2005.059_5.0
 2005  2 28 13 50 26  B011 pacgeosi3bbc2005 429.20 059   19   48.07 -129.18 12.0  4.9 2005.059_4.9
 2005  3  1  0 32 27  B011 pacgeosi3bbc2005 424.34 060   20   48.13 -129.13 12.0  5.0 2005.060_5.0
 2005  3  1 21 34 30  B011 pacgeosi3bbc2005 434.31 060   21   48.07 -129.25 12.0  5.0 2005.060_5.0
 2005 11 19 12 40  6  B011 pacgeosi3bbc2005 400.68 323   33   48.52 -128.88 16.0  5.3 2005.323_5.3
 2008  4 27 21 18  4  B011 pacgeosi3bbc2005 404.34 118   74   48.66 -128.94 20.8  5.2 2008.118_5.2
 2008  8 25 22 24 57  B011 pacgeosi3bbc2005 417.46 238   88   48.70 -129.12 23.0  5.1 2008.238_5.1
 2008  9 11 23 13 34  B011 pacgeosi3bbc2005 436.55 255   89   47.45 -129.03 12.0  5.1 2008.255_5.1
 2008  9 11 23 26 28  B011 pacgeosi3bbc2005 436.88 255   90   47.46 -129.04 12.0  5.2 2008.255_5.2
 2008 12 25  8 11 60  B011 pacgeosi3bbc2005 412.84 360   95   48.78 -129.06 12.0  5.8 2008.360_5.8
 2010 10  4 14 51 60  B011 pacgeosi3bbc2005 444.66 277  129   49.08 -129.48 16.1  5.3 2010.277_5.3
 2011  9  9 19 41 36  B011 pacgeosi3bbc2005 281.66 252  145   49.27 -127.17 25.1  6.5 2011.252_6.5
 2012  2  4 20  5 32  B011 pacgeosi3bbc2005 347.67 035  148   48.66 -128.17 12.0  5.6 2012.035_5.6
 2012  2 16  6 37 32  B011 pacgeosi3bbc2005 344.68 047  151   48.80 -128.13 14.3  4.9 2012.047_4.9
 2012  6 27  4 22 33  B011 pacgeosi3bbc2005 453.54 179  154   49.10 -129.60 18.8  5.1 2012.179_5.1
 2012  8 19 10  4  3  B011 pacgeosi3bbc2005 432.91 232  163   47.57 -129.04 14.7  5.0 2012.232_5.0
 2012  8 19  8  7 36  B011 pacgeosi3bbc2005 441.21 232  162   47.42 -129.08 15.0  5.6 2012.232_5.6
 2012 11  8  2  1 51  B011 pacgeosi3bbc2005 397.67 313  172   48.90 -128.85 12.0  6.2 2012.313_6.2
 2013  1  7  3 33 23  B011 pacgeosi3bbc2005 423.39 007  173   48.72 -129.20 27.2  4.8 2013.007_4.8
 2013  8  4 13 22 31  B011 pacgeosi3bbc2005 313.17 216  181   49.52 -127.52 26.2  5.5 2013.216_5.5
 2004  1 25 15 12 29  B012 ucluelet1bbc2005 171.93 025    1   49.05 -127.88 12.0  5.4 2004.025_5.4
 2004  7 15 12  6 54  B012 ucluelet1bbc2005 134.86 197    5   49.48 -127.17 18.7  5.7 2004.197_5.7
 2004  7 19  8  1 52  B012 ucluelet1bbc2005 143.41 201    6   49.60 -127.19 24.8  6.3 2004.201_6.3
 2004 11  2 10  2 16  B012 ucluelet1bbc2005 263.96 307   14   49.17 -129.13 19.0  6.6 2004.307_6.6
 2004 11  2 14  3 42  B012 ucluelet1bbc2005 281.38 307   15   49.01 -129.38 19.7  5.0 2004.307_5.0
 2004 11  2 17 23 44  B012 ucluelet1bbc2005 253.04 307   16   49.29 -128.96 16.8  5.2 2004.307_5.2
 2004 11  2  9 30 47  B012 ucluelet1bbc2005 260.03 307   13   49.14 -129.08 17.9  5.1 2004.307_5.1
 2005  2 28 12 49 26  B012 ucluelet1bbc2005 288.88 059   18   48.08 -129.24 12.0  5.0 2005.059_5.0
 2005  2 28 13 50 26  B012 ucluelet1bbc2005 285.10 059   19   48.07 -129.18 12.0  4.9 2005.059_4.9
 2005  3  1  0 32 27  B012 ucluelet1bbc2005 279.30 060   20   48.13 -129.13 12.0  5.0 2005.060_5.0
 2005  3  1 21 34 30  B012 ucluelet1bbc2005 289.97 060   21   48.07 -129.25 12.0  5.0 2005.060_5.0
 2005 11 19 12 40  6  B012 ucluelet1bbc2005 249.86 323   33   48.52 -128.88 16.0  5.3 2005.323_5.3
 2008  4 27 21 18  4  B012 ucluelet1bbc2005 251.81 118   74   48.66 -128.94 20.8  5.2 2008.118_5.2
 2008  8 25 22 24 57  B012 ucluelet1bbc2005 264.46 238   88   48.70 -129.12 23.0  5.1 2008.238_5.1
 2008  9 11 23 13 34  B012 ucluelet1bbc2005 306.71 255   89   47.45 -129.03 12.0  5.1 2008.255_5.1
 2008  9 11 23 26 28  B012 ucluelet1bbc2005 306.72 255   90   47.46 -129.04 12.0  5.2 2008.255_5.2
 2008 12 25  8 11 60  B012 ucluelet1bbc2005 258.68 360   95   48.78 -129.06 12.0  5.8 2008.360_5.8
 2010 10  4 14 51 60  B012 ucluelet1bbc2005 288.69 277  129   49.08 -129.48 16.1  5.3 2010.277_5.3
 2011  9  9 19 41 36  B012 ucluelet1bbc2005 127.20 252  145   49.27 -127.17 25.1  6.5 2011.252_6.5
 2012  2  4 20  5 32  B012 ucluelet1bbc2005 195.49 035  148   48.66 -128.17 12.0  5.6 2012.035_5.6
 2012  2 16  6 37 32  B012 ucluelet1bbc2005 190.71 047  151   48.80 -128.13 14.3  4.9 2012.047_4.9
 2012  6 27  4 22 33  B012 ucluelet1bbc2005 297.59 179  154   49.10 -129.60 18.8  5.1 2012.179_5.1
 2012  8 19 10  4  3  B012 ucluelet1bbc2005 300.24 232  163   47.57 -129.04 14.7  5.0 2012.232_5.0
 2012  8 19  8  7 36  B012 ucluelet1bbc2005 311.74 232  162   47.42 -129.08 15.0  5.6 2012.232_5.6
 2012 11  8  2  1 51  B012 ucluelet1bbc2005 242.53 313  172   48.90 -128.85 12.0  6.2 2012.313_6.2
 2013  1  7  3 33 23  B012 ucluelet1bbc2005 270.33 007  173   48.72 -129.20 27.2  4.8 2013.007_4.8
 2013  8  4 13 22 31  B012 ucluelet1bbc2005 160.40 216  181   49.52 -127.52 26.2  5.5 2013.216_5.5
 2004  1 25 15 12 29  B013 pnycrk013bwa2007 392.28 025    1   49.05 -127.88 12.0  5.4 2004.025_5.4
 2004  7 12 16 45  4  B013 pnycrk013bwa2007 414.29 194    4   44.30 -124.71 20.0  4.9 2004.194_4.9
 2004  7 15 12  6 54  B013 pnycrk013bwa2007 364.33 197    5   49.48 -127.17 18.7  5.7 2004.197_5.7
 2004  7 19  8  1 52  B013 pnycrk013bwa2007 372.37 201    6   49.60 -127.19 24.8  6.3 2004.201_6.3
 2004 11  2 10  2 16  B013 pnycrk013bwa2007 483.19 307   14   49.17 -129.13 19.0  6.6 2004.307_6.6
 2004 11  2 14  3 42  B013 pnycrk013bwa2007 496.40 307   15   49.01 -129.38 19.7  5.0 2004.307_5.0
 2004 11  2 17 23 44  B013 pnycrk013bwa2007 475.24 307   16   49.29 -128.96 16.8  5.2 2004.307_5.2
 2004 11  2  9 30 47  B013 pnycrk013bwa2007 478.79 307   13   49.14 -129.08 17.9  5.1 2004.307_5.1
 2005  2 28 12 49 26  B013 pnycrk013bwa2007 473.21 059   18   48.08 -129.24 12.0  5.0 2005.059_5.0
 2005  2 28 13 50 26  B013 pnycrk013bwa2007 468.72 059   19   48.07 -129.18 12.0  4.9 2005.059_4.9
 2005  3  1  0 32 27  B013 pnycrk013bwa2007 465.19 060   20   48.13 -129.13 12.0  5.0 2005.060_5.0
 2005  3  1 21 34 30  B013 pnycrk013bwa2007 473.93 060   21   48.07 -129.25 12.0  5.0 2005.060_5.0
 2005 11 19 12 40  6  B013 pnycrk013bwa2007 450.43 323   33   48.52 -128.88 16.0  5.3 2005.323_5.3
 2008  4 27 21 18  4  B013 pnycrk013bwa2007 457.17 118   74   48.66 -128.94 20.8  5.2 2008.118_5.2
 2008  8 25 22 24 57  B013 pnycrk013bwa2007 470.96 238   88   48.70 -129.12 23.0  5.1 2008.238_5.1
 2008  9 11 23 13 34  B013 pnycrk013bwa2007 461.16 255   89   47.45 -129.03 12.0  5.1 2008.255_5.1
 2008  9 11 23 26 28  B013 pnycrk013bwa2007 461.77 255   90   47.46 -129.04 12.0  5.2 2008.255_5.2
 2008 12 25  8 11 60  B013 pnycrk013bwa2007 468.22 360   95   48.78 -129.06 12.0  5.8 2008.360_5.8
 2011  9  9 19 41 36  B013 pnycrk013bwa2007 353.87 252  145   49.27 -127.17 25.1  6.5 2011.252_6.5
 2012  2  4 20  5 32  B013 pnycrk013bwa2007 401.51 035  148   48.66 -128.17 12.0  5.6 2012.035_5.6
 2012  2 16  6 37 32  B013 pnycrk013bwa2007 402.08 047  151   48.80 -128.13 14.3  4.9 2012.047_4.9
 2012  8 19 10  4  3  B013 pnycrk013bwa2007 460.39 232  163   47.57 -129.04 14.7  5.0 2012.232_5.0
 2012  8 19  8  7 36  B013 pnycrk013bwa2007 465.31 232  162   47.42 -129.08 15.0  5.6 2012.232_5.6
 2012 11  8  2  1 51  B013 pnycrk013bwa2007 455.95 313  172   48.90 -128.85 12.0  6.2 2012.313_6.2
 2013  1  7  3 33 23  B013 pnycrk013bwa2007 477.18 007  173   48.72 -129.20 27.2  4.8 2013.007_4.8
 2013  8  4 13 22 31  B013 pnycrk013bwa2007 388.91 216  181   49.52 -127.52 26.2  5.5 2013.216_5.5
 2004  1 25 15 12 29  B014 quinlt014bwa2008 346.66 025    1   49.05 -127.88 12.0  5.4 2004.025_5.4
 2004  7 12 16 45  4  B014 quinlt014bwa2008 363.81 194    4   44.30 -124.71 20.0  4.9 2004.194_4.9
 2004  7 15 12  6 54  B014 quinlt014bwa2008 330.71 197    5   49.48 -127.17 18.7  5.7 2004.197_5.7
 2004  7 19  8  1 52  B014 quinlt014bwa2008 340.74 201    6   49.60 -127.19 24.8  6.3 2004.201_6.3
 2004 11  2 10  2 16  B014 quinlt014bwa2008 434.67 307   14   49.17 -129.13 19.0  6.6 2004.307_6.6
 2004 11  2 14  3 42  B014 quinlt014bwa2008 445.14 307   15   49.01 -129.38 19.7  5.0 2004.307_5.0
 2004 11  2 17 23 44  B014 quinlt014bwa2008 428.86 307   16   49.29 -128.96 16.8  5.2 2004.307_5.2
 2004 11  2  9 30 47  B014 quinlt014bwa2008 430.02 307   13   49.14 -129.08 17.9  5.1 2004.307_5.1
 2005  2 28 12 49 26  B014 quinlt014bwa2008 411.10 059   18   48.08 -129.24 12.0  5.0 2005.059_5.0
 2005  2 28 13 50 26  B014 quinlt014bwa2008 406.54 059   19   48.07 -129.18 12.0  4.9 2005.059_4.9
 2005  3  1  0 32 27  B014 quinlt014bwa2008 403.70 060   20   48.13 -129.13 12.0  5.0 2005.060_5.0
 2005  3  1 21 34 30  B014 quinlt014bwa2008 411.71 060   21   48.07 -129.25 12.0  5.0 2005.060_5.0
 2005 11 19 12 40  6  B014 quinlt014bwa2008 393.95 323   33   48.52 -128.88 16.0  5.3 2005.323_5.3
 2008  4 27 21 18  4  B014 quinlt014bwa2008 402.44 118   74   48.66 -128.94 20.8  5.2 2008.118_5.2
 2008  8 25 22 24 57  B014 quinlt014bwa2008 416.41 238   88   48.70 -129.12 23.0  5.1 2008.238_5.1
 2008  9 11 23 13 34  B014 quinlt014bwa2008 392.99 255   89   47.45 -129.03 12.0  5.1 2008.255_5.1
 2008  9 11 23 26 28  B014 quinlt014bwa2008 393.68 255   90   47.46 -129.04 12.0  5.2 2008.255_5.2
 2008 12 25  8 11 60  B014 quinlt014bwa2008 414.72 360   95   48.78 -129.06 12.0  5.8 2008.360_5.8
 2010  7 28 16 12  7  B014 quinlt014bwa2008 455.28 209  126   43.72 -126.03 12.0  5.2 2010.209_5.2
 2010 10  4 14 51 60  B014 quinlt014bwa2008 454.64 277  129   49.08 -129.48 16.1  5.3 2010.277_5.3
 2011  9  9 19 41 36  B014 quinlt014bwa2008 316.50 252  145   49.27 -127.17 25.1  6.5 2011.252_6.5
 2012  2  4 20  5 32  B014 quinlt014bwa2008 348.55 035  148   48.66 -128.17 12.0  5.6 2012.035_5.6
 2012  2 16  6 37 32  B014 quinlt014bwa2008 351.43 047  151   48.80 -128.13 14.3  4.9 2012.047_4.9
 2012  6 27  4 22 33  B014 quinlt014bwa2008 463.61 179  154   49.10 -129.60 18.8  5.1 2012.179_5.1
 2012  8 19 10  4  3  B014 quinlt014bwa2008 393.29 232  163   47.57 -129.04 14.7  5.0 2012.232_5.0
 2012  8 19  8  7 36  B014 quinlt014bwa2008 396.94 232  162   47.42 -129.08 15.0  5.6 2012.232_5.6
 2012 11  8  2  1 51  B014 quinlt014bwa2008 404.56 313  172   48.90 -128.85 12.0  6.2 2012.313_6.2
 2013  1  7  3 33 23  B014 quinlt014bwa2008 422.78 007  173   48.72 -129.20 27.2  4.8 2013.007_4.8
 2013  8  4 13 22 31  B014 quinlt014bwa2008 353.43 216  181   49.52 -127.52 26.2  5.5 2013.216_5.5
 2004  1 25 15 12 29  B017 flinkm017bwa2007 394.77 025    1   49.05 -127.88 12.0  5.4 2004.025_5.4
 2004  7 12 16 45  4  B017 flinkm017bwa2007 312.93 194    4   44.30 -124.71 20.0  4.9 2004.194_4.9
 2004  7 15 12  6 54  B017 flinkm017bwa2007 384.84 197    5   49.48 -127.17 18.7  5.7 2004.197_5.7
 2004  7 19  8  1 52  B017 flinkm017bwa2007 395.43 201    6   49.60 -127.19 24.8  6.3 2004.201_6.3
 2004 11  2 10  2 16  B017 flinkm017bwa2007 479.80 307   14   49.17 -129.13 19.0  6.6 2004.307_6.6
 2004 11  2 14  3 42  B017 flinkm017bwa2007 488.14 307   15   49.01 -129.38 19.7  5.0 2004.307_5.0
 2004 11  2 17 23 44  B017 flinkm017bwa2007 475.52 307   16   49.29 -128.96 16.8  5.2 2004.307_5.2
 2004 11  2  9 30 47  B017 flinkm017bwa2007 475.02 307   13   49.14 -129.08 17.9  5.1 2004.307_5.1
 2005  2 28 12 49 26  B017 flinkm017bwa2007 444.02 059   18   48.08 -129.24 12.0  5.0 2005.059_5.0
 2005  2 28 13 50 26  B017 flinkm017bwa2007 439.42 059   19   48.07 -129.18 12.0  4.9 2005.059_4.9
 2005  3  1  0 32 27  B017 flinkm017bwa2007 437.45 060   20   48.13 -129.13 12.0  5.0 2005.060_5.0
 2005  3  1 21 34 30  B017 flinkm017bwa2007 444.48 060   21   48.07 -129.25 12.0  5.0 2005.060_5.0
 2005 11 19 12 40  6  B017 flinkm017bwa2007 433.08 323   33   48.52 -128.88 16.0  5.3 2005.323_5.3
 2008  4 27 21 18  4  B017 flinkm017bwa2007 442.99 118   74   48.66 -128.94 20.8  5.2 2008.118_5.2
 2008  8 25 22 24 57  B017 flinkm017bwa2007 456.92 238   88   48.70 -129.12 23.0  5.1 2008.238_5.1
 2008  9 11 23 13 34  B017 flinkm017bwa2007 417.16 255   89   47.45 -129.03 12.0  5.1 2008.255_5.1
 2008  9 11 23 26 28  B017 flinkm017bwa2007 418.01 255   90   47.46 -129.04 12.0  5.2 2008.255_5.2
 2008 12 25  8 11 60  B017 flinkm017bwa2007 456.31 360   95   48.78 -129.06 12.0  5.8 2008.360_5.8
 2010  7 28 16 12  7  B017 flinkm017bwa2007 412.09 209  126   43.72 -126.03 12.0  5.2 2010.209_5.2
 2010 10  4 14 51 60  B017 flinkm017bwa2007 498.05 277  129   49.08 -129.48 16.1  5.3 2010.277_5.3
 2011  9  9 19 41 36  B017 flinkm017bwa2007 369.10 252  145   49.27 -127.17 25.1  6.5 2011.252_6.5
 2012  2  4 20  5 32  B017 flinkm017bwa2007 391.45 035  148   48.66 -128.17 12.0  5.6 2012.035_5.6
 2012  2 16  6 37 32  B017 flinkm017bwa2007 396.05 047  151   48.80 -128.13 14.3  4.9 2012.047_4.9
 2012  8 19 10  4  3  B017 flinkm017bwa2007 419.26 232  163   47.57 -129.04 14.7  5.0 2012.232_5.0
 2012  8 19  8  7 36  B017 flinkm017bwa2007 420.64 232  162   47.42 -129.08 15.0  5.6 2012.232_5.6
 2012 11  8  2  1 51  B017 flinkm017bwa2007 447.97 313  172   48.90 -128.85 12.0  6.2 2012.313_6.2
 2013  1  7  3 33 23  B017 flinkm017bwa2007 463.26 007  173   48.72 -129.20 27.2  4.8 2013.007_4.8
 2013  7 20 17 20 56  B017 flinkm017bwa2007 499.60 201  180   43.13 -126.81 16.2  4.8 2013.201_4.8
 2013  8  4 13 22 31  B017 flinkm017bwa2007 406.46 216  181   49.52 -127.52 26.2  5.5 2013.216_5.5
 2004  1 25 15 12 29  B018 delphi018bor2006 429.03 025    1   49.05 -127.88 12.0  5.4 2004.025_5.4
 2004  7 12 16 45  4  B018 delphi018bor2006 325.69 194    4   44.30 -124.71 20.0  4.9 2004.194_4.9
 2004  7 15 12  6 54  B018 delphi018bor2006 414.78 197    5   49.48 -127.17 18.7  5.7 2004.197_5.7
 2004  7 19  8  1 52  B018 delphi018bor2006 424.73 201    6   49.60 -127.19 24.8  6.3 2004.201_6.3
 2005  2 28 12 49 26  B018 delphi018bor2006 483.49 059   18   48.08 -129.24 12.0  5.0 2005.059_5.0
 2005  2 28 13 50 26  B018 delphi018bor2006 478.90 059   19   48.07 -129.18 12.0  4.9 2005.059_4.9
 2005  3  1  0 32 27  B018 delphi018bor2006 476.75 060   20   48.13 -129.13 12.0  5.0 2005.060_5.0
 2005  3  1 21 34 30  B018 delphi018bor2006 483.99 060   21   48.07 -129.25 12.0  5.0 2005.060_5.0
 2005 11 19 12 40  6  B018 delphi018bor2006 471.02 323   33   48.52 -128.88 16.0  5.3 2005.323_5.3
 2008  4 27 21 18  4  B018 delphi018bor2006 480.45 118   74   48.66 -128.94 20.8  5.2 2008.118_5.2
 2008  8 25 22 24 57  B018 delphi018bor2006 494.39 238   88   48.70 -129.12 23.0  5.1 2008.238_5.1
 2008  9 11 23 13 34  B018 delphi018bor2006 457.75 255   89   47.45 -129.03 12.0  5.1 2008.255_5.1
 2008  9 11 23 26 28  B018 delphi018bor2006 458.58 255   90   47.46 -129.04 12.0  5.2 2008.255_5.2
 2008 12 25  8 11 60  B018 delphi018bor2006 493.51 360   95   48.78 -129.06 12.0  5.8 2008.360_5.8
 2010  7 28 16 12  7  B018 delphi018bor2006 431.87 209  126   43.72 -126.03 12.0  5.2 2010.209_5.2
 2011  9  9 19 41 36  B018 delphi018bor2006 400.21 252  145   49.27 -127.17 25.1  6.5 2011.252_6.5
 2012  2  4 20  5 32  B018 delphi018bor2006 428.08 035  148   48.66 -128.17 12.0  5.6 2012.035_5.6
 2012  2 16  6 37 32  B018 delphi018bor2006 431.97 047  151   48.80 -128.13 14.3  4.9 2012.047_4.9
 2012  8 19 10  4  3  B018 delphi018bor2006 459.67 232  163   47.57 -129.04 14.7  5.0 2012.232_5.0
 2012  8 19  8  7 36  B018 delphi018bor2006 461.24 232  162   47.42 -129.08 15.0  5.6 2012.232_5.6
 2012 11  8  2  1 51  B018 delphi018bor2006 484.48 313  172   48.90 -128.85 12.0  6.2 2012.313_6.2
 2013  8  4 13 22 31  B018 delphi018bor2006 437.24 216  181   49.52 -127.52 26.2  5.5 2013.216_5.5
 2004  1 25 15 12 29  B019 waldrf019bwa2008 413.34 025    1   49.05 -127.88 12.0  5.4 2004.025_5.4
 2004  7 12 16 45  4  B019 waldrf019bwa2008 274.53 194    4   44.30 -124.71 20.0  4.9 2004.194_4.9
 2004  7 15 12  6 54  B019 waldrf019bwa2008 409.03 197    5   49.48 -127.17 18.7  5.7 2004.197_5.7
 2004  7 19  8  1 52  B019 waldrf019bwa2008 420.19 201    6   49.60 -127.19 24.8  6.3 2004.201_6.3
 2004 11  2 10  2 16  B019 waldrf019bwa2008 495.33 307   14   49.17 -129.13 19.0  6.6 2004.307_6.6
 2004 11  2 17 23 44  B019 waldrf019bwa2008 492.35 307   16   49.29 -128.96 16.8  5.2 2004.307_5.2
 2004 11  2  9 30 47  B019 waldrf019bwa2008 490.48 307   13   49.14 -129.08 17.9  5.1 2004.307_5.1
 2005  2 28 12 49 26  B019 waldrf019bwa2008 450.46 059   18   48.08 -129.24 12.0  5.0 2005.059_5.0
 2005  2 28 13 50 26  B019 waldrf019bwa2008 445.87 059   19   48.07 -129.18 12.0  4.9 2005.059_4.9
 2005  3  1  0 32 27  B019 waldrf019bwa2008 444.54 060   20   48.13 -129.13 12.0  5.0 2005.060_5.0
 2005  3  1 21 34 30  B019 waldrf019bwa2008 450.81 060   21   48.07 -129.25 12.0  5.0 2005.060_5.0
 2005 11 19 12 40  6  B019 waldrf019bwa2008 444.21 323   33   48.52 -128.88 16.0  5.3 2005.323_5.3
 2006  1 11 10  2 35  B019 waldrf019bwa2008 472.93 011   34   43.33 -127.41 17.9  5.5 2006.011_5.5
 2007  2 11 15 34 49  B019 waldrf019bwa2008 489.05 042   45   43.33 -127.73 20.6  5.0 2007.042_5.0
 2007  2 14 22 12 60  B019 waldrf019bwa2008 478.82 045   46   43.39 -127.63 12.0  5.2 2007.045_5.2
 2007  4 29  0 49  6  B019 waldrf019bwa2008 474.99 119   48   43.20 -127.21 15.4  4.8 2007.119_4.8
 2007 10 10  0 15 15  B019 waldrf019bwa2008 496.60 283   54   43.43 -128.03 17.7  5.0 2007.283_5.0
 2007 11 19 20 32 50  B019 waldrf019bwa2008 487.86 323   56   43.35 -127.74 19.0  5.8 2007.323_5.8
 2007 11 19 22 43  3  B019 waldrf019bwa2008 492.02 323   57   43.42 -127.93 19.3  5.0 2007.323_5.0
 2008  4 12 12  5 15  B019 waldrf019bwa2008 491.53 103   71   43.42 -127.92 12.3  5.5 2008.103_5.5
 2008  4 27 21 18  4  B019 waldrf019bwa2008 455.14 118   74   48.66 -128.94 20.8  5.2 2008.118_5.2
 2008  5  4  2 51 14  B019 waldrf019bwa2008 470.58 125   76   42.99 -126.65 12.0  5.1 2008.125_5.1
 2008  7 12 15 46  2  B019 waldrf019bwa2008 473.82 194   81   43.05 -126.87 18.5  5.0 2008.194_5.0
 2008  8 25 22 24 57  B019 waldrf019bwa2008 468.94 238   88   48.70 -129.12 23.0  5.1 2008.238_5.1
 2008  9 11 23 13 34  B019 waldrf019bwa2008 417.77 255   89   47.45 -129.03 12.0  5.1 2008.255_5.1
 2008  9 11 23 26 28  B019 waldrf019bwa2008 418.71 255   90   47.46 -129.04 12.0  5.2 2008.255_5.2
 2008 11 14  1 48 40  B019 waldrf019bwa2008 480.53 319   92   43.40 -127.68 13.7  5.3 2008.319_5.3
 2008 12 25  8 11 60  B019 waldrf019bwa2008 469.14 360   95   48.78 -129.06 12.0  5.8 2008.360_5.8
 2009  8 29 10 24 12  B019 waldrf019bwa2008 499.99 241  100   43.88 -128.68 18.9  5.0 2009.241_5.0
 2009 11  4 12 38 29  B019 waldrf019bwa2008 464.91 308  106   43.24 -127.07 12.9  5.3 2009.308_5.3
 2010  7 28 16 12  7  B019 waldrf019bwa2008 375.45 209  126   43.72 -126.03 12.0  5.2 2010.209_5.2
 2010 11 21 23 46 36  B019 waldrf019bwa2008 481.03 325  131   43.40 -127.69 21.0  5.0 2010.325_5.0
 2011  2  8 22  2  2  B019 waldrf019bwa2008 478.14 039  134   43.31 -127.48 18.3  5.4 2011.039_5.4
 2011  2  8  7 44 35  B019 waldrf019bwa2008 495.26 039  133   43.46 -128.05 15.6  4.8 2011.039_4.8
 2011  5 22  7 21 36  B019 waldrf019bwa2008 477.54 142  140   43.30 -127.45 19.9  4.9 2011.142_4.9
 2011  9  1  2  6 22  B019 waldrf019bwa2008 488.23 244  144   43.34 -127.73 23.9  4.8 2011.244_4.8
 2011  9  9 19 41 36  B019 waldrf019bwa2008 391.96 252  145   49.27 -127.17 25.1  6.5 2011.252_6.5
 2011 10 13  4 14  1  B019 waldrf019bwa2008 477.94 286  146   43.29 -127.44 13.7  5.6 2011.286_5.6
 2012  2  4 20  5 32  B019 waldrf019bwa2008 405.83 035  148   48.66 -128.17 12.0  5.6 2012.035_5.6
 2012  2 15  3 31 22  B019 waldrf019bwa2008 480.50 046  150   43.40 -127.68 17.9  5.9 2012.046_5.9
 2012  2 16  6 37 32  B019 waldrf019bwa2008 411.75 047  151   48.80 -128.13 14.3  4.9 2012.047_4.9
 2012  4 11 22 41 48  B019 waldrf019bwa2008 493.14 102  152   43.40 -127.92 19.6  6.0 2012.102_6.0
 2012  6 19 13 40 58  B019 waldrf019bwa2008 474.77 171  153   43.36 -127.50 18.5  5.3 2012.171_5.3
 2012  7  6 17 50 26  B019 waldrf019bwa2008 481.04 188  157   43.45 -127.77 24.4  4.8 2012.188_4.8
 2012  8 19 10  4  3  B019 waldrf019bwa2008 421.07 232  163   47.57 -129.04 14.7  5.0 2012.232_5.0
 2012  8 19  8  7 36  B019 waldrf019bwa2008 420.90 232  162   47.42 -129.08 15.0  5.6 2012.232_5.6
 2012  9 26  7 42 41  B019 waldrf019bwa2008 469.28 270  167   43.02 -126.69 12.4  4.8 2012.270_4.8
 2012 11  8  2  1 51  B019 waldrf019bwa2008 462.29 313  172   48.90 -128.85 12.0  6.2 2012.313_6.2
 2013  1  7  3 33 23  B019 waldrf019bwa2008 475.24 007  173   48.72 -129.20 27.2  4.8 2013.007_4.8
 2013  1 30  3 14 29  B019 waldrf019bwa2008 482.56 030  174   43.47 -127.83 12.0  5.4 2013.030_5.4
 2013  2 27 22 25 43  B019 waldrf019bwa2008 472.82 058  176   43.03 -126.80 12.0  5.2 2013.058_5.2
 2013  7 20 17 20 56  B019 waldrf019bwa2008 463.71 201  180   43.13 -126.81 16.2  4.8 2013.201_4.8
 2013  8  4 13 22 31  B019 waldrf019bwa2008 429.48 216  181   49.52 -127.52 26.2  5.5 2013.216_5.5
 2004  1 25 15 12 29  B020 wirkla020bwa2008 423.42 025    1   49.05 -127.88 12.0  5.4 2004.025_5.4
 2004  7 12 16 45  4  B020 wirkla020bwa2008 241.64 194    4   44.30 -124.71 20.0  4.9 2004.194_4.9
 2004  7 15 12  6 54  B020 wirkla020bwa2008 424.30 197    5   49.48 -127.17 18.7  5.7 2004.197_5.7
 2004  7 19  8  1 52  B020 wirkla020bwa2008 435.94 201    6   49.60 -127.19 24.8  6.3 2004.201_6.3
 2004 11  2  9 30 47  B020 wirkla020bwa2008 497.34 307   13   49.14 -129.08 17.9  5.1 2004.307_5.1
