sta4 year mo dy hr mi sec geodkm
B093 2005 6 16 20 53 30 60.32
B900 2005 6 16 20 53 30 327.29
B901 2005 6 16 20 53 30 338.24
B916 2005 6 16 20 53 30 241.50
B917 2005 6 16 20 53 30 146.67
B918 2005 6 16 20 53 30 212.45
B921 2005 6 16 20 53 30 171.86
B030 2005 6 17 6 21 45 494.45
B031 2005 6 17 6 21 45 435.74
B032 2005 6 17 6 21 45 436.16
B033 2005 6 17 6 21 45 421.03
B035 2005 6 17 6 21 45 349.36
B036 2005 6 17 6 21 45 349.62
B039 2005 6 17 6 21 45 370.81
B040 2005 6 17 6 21 45 386.89
B045 2005 6 17 6 21 45 235.46
B054 2005 6 17 6 21 45 499.62
B057 2005 6 17 6 21 45 463.09
B933 2005 6 17 6 21 45 245.92
B934 2005 6 17 6 21 45 275.76
B935 2005 6 17 6 21 45 270.66
B031 2005 6 19 9 27 21 449.88
B032 2005 6 19 9 27 21 450.30
B033 2005 6 19 9 27 21 433.45
B035 2005 6 19 9 27 21 359.30
B036 2005 6 19 9 27 21 359.56
B039 2005 6 19 9 27 21 373.04
B040 2005 6 19 9 27 21 391.19
B045 2005 6 19 9 27 21 230.44
B054 2005 6 19 9 27 21 483.88
B057 2005 6 19 9 27 21 447.18
B933 2005 6 19 9 27 21 237.40
B934 2005 6 19 9 27 21 265.98
B935 2005 6 19 9 27 21 266.21
B081 2005 8 31 22 50 23 132.93
B082 2005 8 31 22 50 23 116.55
B084 2005 8 31 22 50 23 108.09
B086 2005 8 31 22 50 23 109.09
B087 2005 8 31 22 50 23 110.07
B088 2005 8 31 22 50 23 104.43
B089 2005 8 31 22 50 23 116.68
B093 2005 8 31 22 50 23 128.46
B916 2005 8 31 22 50 23 407.38
B917 2005 8 31 22 50 23 311.46
B918 2005 8 31 22 50 23 379.42
B921 2005 8 31 22 50 23 339.51
B081 2005 9 2 1 27 24 123.80
B082 2005 9 2 1 27 24 108.83
B084 2005 9 2 1 27 24 97.65
B086 2005 9 2 1 27 24 101.63
B087 2005 9 2 1 27 24 105.71
B088 2005 9 2 1 27 24 104.52
B089 2005 9 2 1 27 24 108.91
B093 2005 9 2 1 27 24 123.13
B900 2005 9 2 1 27 24 493.35
B916 2005 9 2 1 27 24 382.93
B917 2005 9 2 1 27 24 288.08
B918 2005 9 2 1 27 24 355.63
B921 2005 9 2 1 27 24 316.50
B001 2005 11 19 12 40 6 429.53
B003 2005 11 19 12 40 6 355.16
B004 2005 11 19 12 40 6 331.76
B005 2005 11 19 12 40 6 401.94
B006 2005 11 19 12 40 6 402.14
B007 2005 11 19 12 40 6 401.92
B009 2005 11 19 12 40 6 400.46
B010 2005 11 19 12 40 6 400.44
B011 2005 11 19 12 40 6 400.68
B012 2005 11 19 12 40 6 249.86
B013 2005 11 19 12 40 6 450.43
B014 2005 11 19 12 40 6 393.95
B017 2005 11 19 12 40 6 433.08
B018 2005 11 19 12 40 6 471.02
B019 2005 11 19 12 40 6 444.21
B020 2005 11 19 12 40 6 447.46
B022 2005 11 19 12 40 6 470.33
B024 2005 11 19 12 40 6 497.57
B926 2005 11 19 12 40 6 351.19
B927 2005 11 19 12 40 6 308.19
B928 2005 11 19 12 40 6 278.09
B943 2005 11 19 12 40 6 450.39
B019 2006 1 11 10 2 35 472.93
B020 2006 1 11 10 2 35 440.60
B022 2006 1 11 10 2 35 401.24
B023 2006 1 11 10 2 35 461.31
B024 2006 1 11 10 2 35 381.48
B026 2006 1 11 10 2 35 360.75
B027 2006 1 11 10 2 35 379.86
B028 2006 1 11 10 2 35 379.60
B030 2006 1 11 10 2 35 380.72
B031 2006 1 11 10 2 35 326.77
B032 2006 1 11 10 2 35 327.07
B033 2006 1 11 10 2 35 347.62
